cell_id,distance_to_glacial_lake,glacial_lake_area,glacial_lake_area_change
CELL_000359,308.0073480175686,9658.086843564957,6.55930720278301
CELL_000360,208.15902828942728,9658.086843564957,6.55930720278301
CELL_000361,108.55068432318058,9658.086843564957,6.55930720278301
CELL_000362,9.541565186293155,9658.086843564957,6.55930720278301
CELL_000363,16.075153672537034,9658.086843564957,6.55930720278301
CELL_000364,75.06373137326356,3504.816679479516,-48.70085355331917
CELL_000365,0.0,3504.816679479516,-48.70085355331917
CELL_000366,62.04291606080998,3504.816679479516,-48.70085355331917
CELL_000367,162.03487511570415,3504.816679479516,-48.70085355331917
CELL_000368,262.0268341696767,3504.816679479516,-48.70085355331917
CELL_000369,362.0187932255184,3504.816679479516,-48.70085355331917
CELL_000370,20477.288687763543,21658.493753340324,23.797400912794288
CELL_000371,20381.754998674314,21658.493753340324,23.797400912794288
CELL_000372,20286.264359165732,21658.493753340324,23.797400912794288
CELL_000373,20190.817380034918,21658.493753340324,23.797400912794288
CELL_000374,20095.41468340277,21658.493753340324,23.797400912794288
CELL_000375,20000.056902966477,21658.493753340324,23.797400912794288
CELL_000376,19904.7446842676,21658.493753340324,23.797400912794288
CELL_000377,19809.478684959086,21658.493753340324,23.797400912794288
CELL_000378,19714.259575084965,21658.493753340324,23.797400912794288
CELL_000379,19619.088037362904,21658.493753340324,23.797400912794288
CELL_000380,19523.964767479905,21658.493753340324,23.797400912794288
CELL_000381,19428.890474388238,21658.493753340324,23.797400912794288
CELL_000382,19333.865880618334,21658.493753340324,23.797400912794288
CELL_000383,19238.891722595,21658.493753340324,23.797400912794288
CELL_000384,19143.968750959335,21658.493753340324,23.797400912794288
CELL_000385,19049.097730907502,21658.493753340324,23.797400912794288
CELL_000386,18954.279442533636,21658.493753340324,23.797400912794288
CELL_000387,18859.51468118059,21658.493753340324,23.797400912794288
CELL_000388,18764.80425780171,21658.493753340324,23.797400912794288
CELL_000389,18670.148999341356,21658.493753340324,23.797400912794288
CELL_000390,18575.549749107286,21658.493753340324,23.797400912794288
CELL_000391,18481.007367174563,21658.493753340324,23.797400912794288
CELL_000392,18386.52273078177,21658.493753340324,23.797400912794288
CELL_000393,18292.09673475151,21658.493753340324,23.797400912794288
CELL_000394,18197.73029192036,21658.493753340324,23.797400912794288
CELL_000395,18103.42433357481,21658.493753340324,23.797400912794288
CELL_000396,18009.179809903915,21658.493753340324,23.797400912794288
CELL_000397,17914.99769046678,21658.493753340324,23.797400912794288
CELL_000398,17820.878964669642,21658.493753340324,23.797400912794288
CELL_000399,1808.1368530657264,9658.086843564957,6.55930720278301
CELL_000400,1708.2144182401303,9658.086843564957,6.55930720278301
CELL_000401,1608.3016253041162,9658.086843564957,6.55930720278301
CELL_000402,1508.4003902231104,9658.086843564957,6.55930720278301
CELL_000403,1408.5131722835004,9658.086843564957,6.55930720278301
CELL_000404,1308.6431812255394,9658.086843564957,6.55930720278301
CELL_000405,1208.7946868839592,9658.086843564957,6.55930720278301
CELL_000406,1108.9734957652172,9658.086843564957,6.55930720278301
CELL_000407,1009.1877097841932,9658.086843564957,6.55930720278301
CELL_000408,909.4489830947376,9658.086843564957,6.55930720278301
CELL_000409,809.7747045451276,9658.086843564957,6.55930720278301
CELL_000410,710.1920102287734,9658.086843564957,6.55930720278301
CELL_000411,610.7457004875363,9658.086843564957,6.55930720278301
CELL_000412,511.51532717377967,9658.086843564957,6.55930720278301
CELL_000413,412.6566965467925,9658.086843564957,6.55930720278301
CELL_000414,314.3051428047989,9658.086843564957,6.55930720278301
CELL_000415,216.86768230651998,9658.086843564957,6.55930720278301
CELL_000416,123.59393376887547,9658.086843564957,6.55930720278301
CELL_000417,53.87948307351262,9658.086843564957,6.55930720278301
CELL_000418,82.80147937973976,9658.086843564957,6.55930720278301
CELL_000419,92.21423914328712,3504.816679479516,-48.70085355331917
CELL_000420,51.625611786829936,3504.816679479516,-48.70085355331917
CELL_000421,84.43509471134641,3504.816679479516,-48.70085355331917
CELL_000422,173.0706859679209,3504.816679479516,-48.70085355331917
CELL_000423,269.76965186651006,3504.816679479516,-48.70085355331917
CELL_000424,20889.00359247439,21658.493753340324,23.797400912794288
CELL_000425,20793.437808845876,21658.493753340324,23.797400912794288
CELL_000426,20697.913922286374,21658.493753340324,23.797400912794288
